# What the Go precompiles said when they read the corpus back.
# R	<id>	<status>	<gas-charged>	<output-hex>	<note>
R	BLSG1ADD_MATTER_G1_ADD_8	OK	375	00000000000000000000000000000000029405b9615e14bdac8b5666bbc5f3843d4bca17c97bed66d164f1b58d2a148f0f506d645d665a40e60d53fe29375ed400000000000000000000000000000000162761f1712814e474beb2289cc50519253d680699b530c2a6477f727ccc75a19681b82e490f441f91a3c611eeb0e9e2	lux:bls12381G1AddConfig
R	BLSG1MULTIEXP_BLS_G1MULTIEXP_SINGLE	OK	12000	000000000000000000000000000000001098f178f84fc753a76bb63709e9be91eec3ff5f7f3a5f4836f34fe8a1a6d6c5578d8fd820573cef3a01e2bfef3eaf3a000000000000000000000000000000000ea923110b733b531006075f796cc9368f2477fe26020f465468efbb380ce1f8eebaf5c770f31d320f9bd378dc758436	lux:bls12381G1MulConfig
R	BLSG1MULTIEXP_BLS_G1MULTIEXP_MULTIPLE	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG1MULTIEXP_BLS_G1MULTIEXP_LARGER	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG1MULTIEXP_MATTER_G1_MULTIEXP_0	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG1MULTIEXP_MATTER_G1_MULTIEXP_1	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG1MULTIEXP_MATTER_G1_MULTIEXP_2	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG1MULTIEXP_MATTER_G1_MULTIEXP_3	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG1MULTIEXP_MATTER_G1_MULTIEXP_4	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG1MULTIEXP_MATTER_G1_MULTIEXP_5	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG1MULTIEXP_MATTER_G1_MULTIEXP_6	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG1MULTIEXP_MATTER_G1_MULTIEXP_7	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG1MULTIEXP_MATTER_G1_MULTIEXP_8	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLSG2ADD_BLS_G2ADD__2_G2_3_G2_5_G2_	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_BLS_G2ADD__INF_G2_G2_	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_BLS_G2ADD__INF_INF_INF_	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_MATTER_G2_ADD_0	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_MATTER_G2_ADD_1	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_MATTER_G2_ADD_2	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_MATTER_G2_ADD_3	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_MATTER_G2_ADD_4	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_MATTER_G2_ADD_5	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_MATTER_G2_ADD_6	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_MATTER_G2_ADD_7	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2ADD_MATTER_G2_ADD_8	OOG	0	-	lux:bls12381G1MSMConfig: out of gas
R	BLSG2MULTIEXP_BLS_G2MULTIEXP_SINGLE	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_BLS_G2MULTIEXP_MULTIPLE	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_BLS_G2MULTIEXP_LARGER	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_MATTER_G2_MULTIEXP_0	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_MATTER_G2_MULTIEXP_1	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_MATTER_G2_MULTIEXP_2	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_MATTER_G2_MULTIEXP_3	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_MATTER_G2_MULTIEXP_4	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_MATTER_G2_MULTIEXP_5	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_MATTER_G2_MULTIEXP_6	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_MATTER_G2_MULTIEXP_7	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSG2MULTIEXP_MATTER_G2_MULTIEXP_8	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_0	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_1	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_2	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_3	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_4	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_5	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_6	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_7	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_8	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_9	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_10	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG1_MATTER_FP_TO_G1_11	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLSMAPG2_MATTER_FP2_TO_G2_0	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSMAPG2_MATTER_FP2_TO_G2_1	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSMAPG2_MATTER_FP2_TO_G2_2	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSMAPG2_MATTER_FP2_TO_G2_3	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSMAPG2_MATTER_FP2_TO_G2_4	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSMAPG2_MATTER_FP2_TO_G2_5	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSMAPG2_MATTER_FP2_TO_G2_6	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSMAPG2_MATTER_FP2_TO_G2_7	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSMAPG2_MATTER_FP2_TO_G2_8	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSMAPG2_MATTER_FP2_TO_G2_9	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSMAPG2_MATTER_FP2_TO_G2_10	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
