# What the Go precompiles said when they read the corpus back.
# R	<id>	<status>	<gas-charged>	<output-hex>	<note>
R	FAIL_BLSMAPG2_BLS_MAPG2_INVALID_FQ_ELEMENT	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	FAIL_BLSPAIRING_BLS_PAIRING_EMPTY_INPUT	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	FAIL_BLSPAIRING_BLS_PAIRING_MISSING_DATA	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	FAIL_BLSPAIRING_BLS_PAIRING_EXTRA_DATA	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	FAIL_BLSPAIRING_BLS_PAIRING_INVALID_FIELD_ELEMENT	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	FAIL_BLSPAIRING_BLS_PAIRING_TOP_BYTES	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	FAIL_BLSPAIRING_BLS_PAIRING_G1_NOT_ON_CURVE	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	FAIL_BLSPAIRING_BLS_PAIRING_G2_NOT_ON_CURVE	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	FAIL_BLSPAIRING_BLS_PAIRING_G1_NOT_IN_CORRECT_SUBGROUP	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	FAIL_BLSPAIRING_BLS_PAIRING_G2_NOT_IN_CORRECT_SUBGROUP	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	MODEXP_EIP_EXAMPLE1	OK	4080	0000000000000000000000000000000000000000000000000000000000000001	geth:MODEXP
R	MODEXP_EIP_EXAMPLE2	OK	4080	0000000000000000000000000000000000000000000000000000000000000000	geth:MODEXP
R	MODEXP_NAGYDANI_1_SQUARE	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_NAGYDANI_1_QUBE	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_NAGYDANI_1_POW0X10001	OK	2048	c36d804180c35d4426b57b50c5bfcca5c01856d104564cd513b461d3c8b8409128a5573e416d0ebe38f5f736766d9dc27143e4da981dfa4d67f7dc474cbee6d2	geth:MODEXP
R	MODEXP_NAGYDANI_2_SQUARE	OK	512	981dd99c3b113fae3e3eaa9435c0dc96779a23c12a53d1084b4f67b0b053a27560f627b873e3f16ad78f28c94f14b6392def26e4d8896c5e3c984e50fa0b3aa44f1da78b913187c6128baa9340b1e9c9a0fd02cb78885e72576da4a8f7e5a113e173a7a2889fde9d407bd9f06eb05bc8fc7b4229377a32941a02bf4edcc06d70	geth:MODEXP
R	MODEXP_NAGYDANI_2_QUBE	OK	512	d89ceb68c32da4f6364978d62aaa40d7b09b59ec61eb3c0159c87ec3a91037f7dc6967594e530a69d049b64adfa39c8fa208ea970cfe4b7bcd359d345744405afe1cbf761647e32b3184c7fbe87cee8c6c7ff3b378faba6c68b83b6889cb40f1603ee68c56b4c03d48c595c826c041112dc941878f8c5be828154afd4a16311f	geth:MODEXP
R	MODEXP_NAGYDANI_2_POW0X10001	OK	8192	ad85e8ef13fd1dd46eae44af8b91ad1ccae5b7a1c92944f92a19f21b0b658139e0cabe9c1f679507c2de354bf2c91ebd965d1e633978a830d517d2f6f8dd5fd58065d58559de7e2334a878f8ec6992d9b9e77430d4764e863d77c0f87beede8f2f7f2ab2e7222f85cc9d98b8467f4bb72e87ef2882423ebdb6daf02dddac6db2	geth:MODEXP
R	MODEXP_NAGYDANI_3_SQUARE	OK	2048	affc7507ea6d84751ec6b3f0d7b99dbcc263f33330e450d1b3ff0bc3d0874320bf4edd57debd587306988157958cb3cfd369cc0c9c198706f635c9e0f15d047df5cb44d03e2727f26b083c4ad8485080e1293f171c1ed52aef5993a5815c35108e848c951cf1e334490b4a539a139e57b68f44fee583306f5b85ffa57206b3ee5660458858534e5386b9584af3c7f67806e84c189d695e5eb96e1272d06ec2df5dc5fabc6e94b793718c60c36be0a4d031fc84cd658aa72294b2e16fc240aef70cb9e591248e38bd49c5a554d1afa01f38dab72733092f7555334bbef6c8c430119840492380aa95fa025dcf699f0a39669d812b0c6946b6091e6e235337b6f8	geth:MODEXP
R	MODEXP_NAGYDANI_3_QUBE	OK	2048	1b280ecd6a6bf906b806d527c2a831e23b238f89da48449003a88ac3ac7150d6a5e9e6b3be4054c7da11dd1e470ec29a606f5115801b5bf53bc1900271d7c3ff3cd5ed790d1c219a9800437a689f2388ba1a11d68f6a8e5b74e9a3b1fac6ee85fc6afbac599f93c391f5dc82a759e3c6c0ab45ce3f5d25d9b0c1bf94cf701ea6466fc9a478dacc5754e593172b5111eeba88557048bceae401337cd4c1182ad9f700852bc8c99933a193f0b94cf1aedbefc48be3bc93ef5cb276d7c2d5462ac8bb0c8fe8923a1db2afe1c6b90d59c534994a6a633f0ead1d638fdc293486bb634ff2c8ec9e7297c04241a61c37e3ae95b11d53343d4ba2b4cc33d2cfa7eb705e	geth:MODEXP
R	MODEXP_NAGYDANI_3_POW0X10001	OK	32768	37843d7c67920b5f177372fa56e2a09117df585f81df8b300fba245b1175f488c99476019857198ed459ed8d9799c377330e49f4180c4bf8e8f66240c64f65ede93d601f957b95b83efdee1e1bfde74169ff77002eaf078c71815a9220c80b2e3b3ff22c2f358111d816ebf83c2999026b6de50bfc711ff68705d2f40b753424aefc9f70f08d908b5a20276ad613b4ab4309a3ea72f0c17ea9df6b3367d44fb3acab11c333909e02e81ea2ed404a712d3ea96bba87461720e2d98723e7acd0520ac1a5212dbedcd8dc0c1abf61d4719e319ff4758a774790b8d463cdfe131d1b2dcfee52d002694e98e720cb6ae7ccea353bc503269ba35f0f63bf8d7b672a76	geth:MODEXP
R	MODEXP_NAGYDANI_4_SQUARE	OK	8192	8a5aea5f50dcc03dc7a7a272b5aeebc040554dbc1ffe36753c4fc75f7ed5f6c2cc0de3a922bf96c78bf0643a73025ad21f45a4a5cadd717612c511ab2bff1190fe5f1ae05ba9f8fe3624de1de2a817da6072ddcdb933b50216811dbe6a9ca79d3a3c6b3a476b079fd0d05f04fb154e2dd3e5cb83b148a006f2bcbf0042efb2ae7b916ea81b27aac25c3bf9a8b6d35440062ad8eae34a83f3ffa2cc7b40346b62174a4422584f72f95316f6b2bee9ff232ba9739301c97c99a9ded26c45d72676eb856ad6ecc81d36a6de36d7f9dafafee11baa43a4b0d5e4ecffa7b9b7dcefd58c397dd373e6db4acd2b2c02717712e6289bed7c813b670c4a0c6735aa7f3b0f1ce556eae9fcc94b501b2c8781ba50a8c6220e8246371c3c7359fe4ef9da786ca7d98256754ca4e496be0a9174bedbecb384bdf470779186d6a833f068d2838a88d90ef3ad48ff963b67c39cc5a3ee123baf7bf3125f64e77af7f30e105d72c4b9b5b237ed251e4c122c6d8c1405e736299c3afd6db16a28c6a9cfa68241e53de4cd388271fe534a6a9b0dbea6171d170db1b89858468885d08fecbd54c8e471c3e25d48e97ba450b96d0d87e00ac732aaa0d3ce4309c1064bd8a4c0808a97e0143e43a24cfa847635125cd41c13e0574487963e9d725c01375db99c31da67b4cf65eff555f0c0ac416c727ff8d438ad7c42030551d68c2e7adda0abb1ca7c10	geth:MODEXP
R	MODEXP_EIP2565_EIP_EXAMPLE1	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_EIP_EXAMPLE2	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_NAGYDANI_1_SQUARE	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_NAGYDANI_1_QUBE	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_NAGYDANI_1_POW0X10001	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_NAGYDANI_2_SQUARE	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_NAGYDANI_2_QUBE	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_NAGYDANI_2_POW0X10001	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_NAGYDANI_3_SQUARE	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_NAGYDANI_3_QUBE	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_NAGYDANI_3_POW0X10001	OOG	0	-	geth:MODEXP: out of gas
R	MODEXP_EIP2565_NAGYDANI_4_SQUARE	OOG	0	-	geth:MODEXP: out of gas
R	POINTEVALUATION_POINTEVALUATION1	OK	50000	000000000000000000000000000000000000000000000000000000000000100073eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001	geth:KZG_POINT_EVALUATION
R	SHA256_EMPTY	OK	60	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	geth:SHA256
R	RIPEMD160_EMPTY	OK	600	0000000000000000000000009c1185a5c5e9fc54612808977ee8f548b2258d31	geth:RIPEMD160
R	IDENTITY_EMPTY	OK	15	-	geth:ID
R	SHA256_ABC	OK	72	ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad	geth:SHA256
R	RIPEMD160_ABC	OK	720	0000000000000000000000008eb208f7e05d987a9b044a8e98c6b087f15a0bfc	geth:RIPEMD160
R	IDENTITY_ABC	OK	18	616263	geth:ID
R	ECRECOVER_EMPTY	OK	3000	-	geth:ECREC
R	MODEXP_EMPTY	OK	500	-	geth:MODEXP
R	BN256ADD_EMPTY	OK	150	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	geth:BN254_ADD
R	BN256MUL_EMPTY	OK	6000	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	geth:BN254_MUL
R	BN256PAIRING_EMPTY	OK	45000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BLAKE2F_EMPTY	FAILED	0	-	geth:BLAKE2F: invalid input length
R	KZG_EMPTY	FAILED	50000	-	geth:KZG_POINT_EVALUATION: invalid input length
R	BLS_G1ADD_EMPTY	FAILED	375	-	lux:bls12381G1AddConfig: invalid input
R	BLS_G1MULTIEXP_EMPTY	FAILED	12000	-	lux:bls12381G1MulConfig: invalid input
R	BLS_G2ADD_EMPTY	FAILED	0	-	lux:bls12381G1MSMConfig: invalid input
R	BLS_G2MULTIEXP_EMPTY	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	BLS_PAIRING_EMPTY	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLS_MAPG1_EMPTY	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	BLS_MAPG2_EMPTY	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	UNCLAIMED_12	ABSENT	0	-	no precompile at this address
R	UNCLAIMED_FF	ABSENT	0	-	no precompile at this address
R	UNCLAIMED_0101	ABSENT	0	-	no precompile at this address
R	AIVM_GENERATE	OK	600000	00000001000000070000000d00000002000000040000001c000000150000001100000002000000130000002b00000023000000240000000f	lux:aiInferenceConfig
R	AIVM_BAD_SELECTOR	FAILED	150000	-	lux:aiInferenceConfig: unknown selector 0x2000000
R	AIMINING_EMPTY	FAILED	0	-	lux:aiMiningConfig: input too short
R	AIMINING_WORKID_96369	OK	50	604248bb3ec9abe5e13097decd9ad4bddcec0dec1dbfc21f9488acd1e6b67740	lux:aiMiningConfig
R	AIMINING_WORKID_200200	OK	50	8a96f24c2b46139a74050e1a1afea5a025d5f73c28b54c3f731c6adec061e24a	lux:aiMiningConfig
R	MLKEM_EMPTY	FAILED	75000	-	lux:mlkemConfig: invalid input
R	MLDSA_EMPTY	FAILED	100000	-	lux:mldsaVerify: invalid input: need at least mode byte
R	SLHDSA_EMPTY	FAILED	100000	-	lux:slhdsaVerify: invalid input: need at least 3 bytes
R	PULSAR_EMPTY	FAILED	100000	-	lux:pulsarVerify: invalid input
R	P3Q_EMPTY	OK	50000	0000000000000000000000000000000000000000000000000000000000000000	lux:p3qVerify
R	CORONA_EMPTY	FAILED	150000	-	lux:coronaThreshold: invalid input: threshold: invalid input: shorter than the wire format requires
R	XWING_EMPTY	FAILED	1000	-	lux:xwingConfig: invalid input
R	P256_EMPTY	OK	3450	-	lux:secp256r1Config
R	P256_WRONG_LENGTH	OK	3450	-	lux:secp256r1Config
R	P256_ZEROES	OK	3450	-	lux:secp256r1Config
R	ECRECOVER_GAS_EXACT	OK	3000	-	geth:ECREC
R	ECRECOVER_GAS_SHORT	OOG	0	-	geth:ECREC: out of gas
R	SHA256_GAS_EXACT	OK	72	ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad	geth:SHA256
R	SHA256_GAS_SHORT	OOG	0	-	geth:SHA256: out of gas
R	RIPEMD160_GAS_EXACT	OK	720	0000000000000000000000008eb208f7e05d987a9b044a8e98c6b087f15a0bfc	geth:RIPEMD160
R	RIPEMD160_GAS_SHORT	OOG	0	-	geth:RIPEMD160: out of gas
R	IDENTITY_GAS_EXACT	OK	18	616263	geth:ID
R	IDENTITY_GAS_SHORT	OOG	0	-	geth:ID: out of gas
R	P256_GAS_EXACT	OK	3450	-	lux:secp256r1Config
R	P256_GAS_SHORT	OOG	0	-	lux:secp256r1Config: out of gas
